Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9
0.024,0.921,0.067,0.007,0.011,0.010,0.581,0.975,0.036
0.024,0.921,0.067,0.007,0.011,0.010,0.581,0.975,0.036
0.772,0.015,0.578,0.531,0.844,0.914,0.868,0.889,0.614
0.384,0.262,0.093,0.015,0.386,0.286,0.742,0.913,0.095
0.011,0.890,0.288,0.211,0.003,0.010,0.430,0.927,0.006
0.968,0.004,0.535,0.787,0.989,0.987,0.810,0.843,0.819
0.627,0.060,0.113,0.113,0.727,0.798,0.719,0.707,0.294
0.888,0.018,0.181,0.584,0.957,0.972,0.744,0.779,0.627
0.541,0.010,0.637,0.945,0.697,0.802,0.879,0.904,0.356
0.831,0.129,0.008,0.001,0.843,0.685,0.592,0.355,0.369
0.831,0.129,0.008,0.001,0.843,0.685,0.592,0.355,0.369
0.288,0.019,0.670,0.967,0.325,0.459,0.687,0.622,0.138
0.743,0.134,0.247,0.542,0.854,0.865,0.643,0.849,0.549
0.046,0.064,0.070,0.023,0.026,0.010,0.760,0.764,0.017
0.085,0.232,0.008,0.000,0.052,0.040,0.807,0.531,0.022
0.318,0.017,0.651,0.932,0.415,0.343,0.660,0.744,0.206
0.740,0.093,0.052,0.018,0.760,0.630,0.714,0.461,0.375
0.258,0.039,0.006,0.002,0.286,0.385,0.845,0.707,0.062
0.420,0.110,0.501,0.677,0.423,0.509,0.679,0.690,0.224
0.944,0.011,0.138,0.970,0.990,0.996,0.722,0.615,0.797
0.842,0.290,0.018,0.047,0.865,0.775,0.501,0.781,0.373
0.282,0.119,0.105,0.292,0.273,0.594,0.731,0.825,0.133
0.301,0.128,0.661,0.524,0.243,0.157,0.716,0.782,0.170
0.219,0.013,0.906,0.801,0.253,0.117,0.905,0.947,0.136
0.305,0.176,0.016,0.004,0.323,0.346,0.740,0.578,0.105
0.051,0.031,0.541,0.534,0.036,0.011,0.723,0.754,0.026
0.969,0.008,0.153,0.844,0.994,0.996,0.781,0.868,0.864
0.942,0.018,0.030,0.133,0.983,0.994,0.753,0.599,0.794
0.036,0.048,0.141,0.130,0.022,0.012,0.473,0.419,0.017
0.036,0.048,0.141,0.130,0.022,0.012,0.473,0.419,0.017
0.838,0.016,0.140,0.315,0.932,0.943,0.796,0.687,0.605
0.987,0.009,0.081,0.045,0.997,0.999,0.898,0.874,0.932
0.987,0.009,0.081,0.045,0.997,0.999,0.898,0.874,0.932
0.987,0.009,0.081,0.045,0.997,0.999,0.898,0.874,0.932
0.987,0.009,0.081,0.045,0.997,0.999,0.898,0.874,0.932
0.987,0.009,0.081,0.045,0.997,0.999,0.898,0.874,0.932
0.651,0.013,0.479,0.677,0.764,0.746,0.756,0.830,0.487
0.917,0.001,0.047,0.268,0.979,0.977,0.794,0.782,0.683
0.354,0.212,0.594,0.499,0.304,0.212,0.633,0.765,0.209
0.811,0.031,0.430,0.190,0.868,0.826,0.876,0.909,0.667
0.833,0.017,0.430,0.265,0.907,0.878,0.876,0.895,0.736
0.136,0.019,0.098,0.398,0.134,0.091,0.638,0.614,0.062
0.666,0.117,0.685,0.279,0.661,0.590,0.749,0.760,0.591
0.261,0.004,0.674,0.688,0.316,0.235,0.915,0.929,0.131
0.033,0.008,0.476,0.115,0.029,0.018,0.924,0.854,0.017
0.429,0.232,0.079,0.131,0.452,0.405,0.364,0.526,0.173
0.012,0.105,0.154,0.032,0.006,0.017,0.947,0.984,0.005
0.845,0.040,0.056,0.098,0.911,0.915,0.631,0.562,0.555
0.705,0.070,0.151,0.287,0.802,0.876,0.771,0.723,0.446
0.255,0.039,0.830,0.625,0.251,0.123,0.856,0.901,0.137
0.773,0.040,0.537,0.396,0.845,0.808,0.841,0.886,0.594
0.334,0.049,0.762,0.599,0.322,0.207,0.708,0.827,0.209
0.965,0.006,0.694,0.635,0.990,0.988,0.877,0.881,0.948
0.149,0.606,0.214,0.075,0.115,0.081,0.791,0.967,0.112
0.975,0.007,0.017,0.033,0.995,0.998,0.888,0.803,0.895
0.693,0.013,0.317,0.585,0.817,0.685,0.693,0.736,0.475
0.041,0.140,0.021,0.051,0.031,0.117,0.673,0.792,0.028
0.019,0.038,0.266,0.234,0.011,0.003,0.650,0.837,0.010
0.036,0.033,0.386,0.203,0.028,0.008,0.856,0.930,0.018
0.561,0.019,0.875,0.977,0.632,0.649,0.716,0.717,0.397
0.080,0.011,0.853,0.655,0.065,0.021,0.936,0.978,0.033
0.860,0.022,0.510,0.673,0.937,0.931,0.827,0.836,0.785
0.365,0.056,0.828,0.711,0.377,0.324,0.753,0.809,0.318
0.346,0.014,0.912,0.870,0.470,0.425,0.900,0.871,0.299
0.437,0.110,0.724,0.511,0.414,0.410,0.794,0.788,0.310
0.058,0.196,0.009,0.001,0.030,0.029,0.514,0.597,0.026
0.249,0.043,0.056,0.136,0.246,0.315,0.553,0.464,0.142
0.323,0.710,0.025,0.156,0.389,0.608,0.456,0.832,0.147
0.370,0.018,0.829,0.749,0.370,0.303,0.800,0.829,0.269
0.433,0.010,0.949,0.917,0.580,0.426,0.914,0.926,0.332
0.061,0.126,0.008,0.001,0.037,0.026,0.775,0.725,0.020
0.130,0.029,0.777,0.395,0.102,0.063,0.918,0.919,0.054
0.424,0.007,0.298,0.119,0.417,0.501,0.888,0.846,0.169
0.476,0.115,0.554,0.618,0.493,0.522,0.707,0.730,0.329
0.503,0.049,0.890,0.761,0.545,0.568,0.845,0.865,0.449
0.407,0.059,0.857,0.566,0.401,0.240,0.817,0.826,0.295
0.407,0.059,0.857,0.566,0.401,0.240,0.817,0.826,0.295
0.933,0.063,0.714,0.527,0.964,0.961,0.672,0.756,0.905
0.012,0.014,0.315,0.074,0.008,0.003,0.943,0.978,0.004
0.571,0.060,0.099,0.073,0.627,0.626,0.704,0.658,0.240
0.933,0.100,0.474,0.314,0.970,0.944,0.819,0.957,0.705
0.226,0.041,0.602,0.740,0.216,0.207,0.681,0.728,0.146
0.158,0.041,0.904,0.831,0.157,0.075,0.842,0.899,0.114
0.157,0.073,0.142,0.019,0.140,0.097,0.880,0.768,0.053
0.141,0.059,0.383,0.821,0.128,0.100,0.585,0.657,0.073
0.168,0.008,0.850,0.471,0.154,0.161,0.956,0.940,0.055
0.965,0.016,0.258,0.576,0.990,0.993,0.711,0.816,0.893
0.419,0.323,0.092,0.015,0.367,0.261,0.661,0.510,0.161
0.115,0.048,0.271,0.090,0.085,0.032,0.837,0.800,0.036
0.158,0.026,0.243,0.109,0.132,0.067,0.817,0.727,0.056
0.290,0.017,0.173,0.024,0.291,0.210,0.943,0.894,0.078
0.066,0.686,0.011,0.001,0.040,0.028,0.379,0.555,0.027
0.216,0.054,0.731,0.180,0.152,0.166,0.895,0.899,0.086
0.604,0.057,0.484,0.776,0.695,0.688,0.606,0.771,0.436
0.950,0.018,0.520,0.550,0.983,0.989,0.859,0.937,0.855
0.204,0.142,0.015,0.013,0.194,0.287,0.660,0.816,0.083
0.778,0.023,0.265,0.630,0.892,0.911,0.776,0.836,0.496
0.378,0.208,0.278,0.547,0.372,0.412,0.555,0.655,0.199
0.378,0.209,0.277,0.542,0.371,0.411,0.555,0.656,0.198
0.695,0.018,0.131,0.039,0.831,0.643,0.862,0.848,0.353
0.753,0.118,0.015,0.010,0.795,0.824,0.634,0.552,0.285
0.503,0.022,0.759,0.694,0.588,0.411,0.784,0.898,0.364
0.107,0.026,0.881,0.711,0.111,0.029,0.915,0.966,0.050
0.791,0.020,0.012,0.012,0.876,0.868,0.837,0.781,0.428
0.130,0.006,0.892,0.842,0.138,0.083,0.920,0.959,0.096
0.127,0.006,0.893,0.847,0.135,0.080,0.919,0.959,0.094
0.567,0.005,0.156,0.978,0.812,0.903,0.830,0.783,0.310
0.526,0.021,0.789,0.781,0.634,0.513,0.741,0.868,0.363
0.020,0.028,0.329,0.655,0.010,0.009,0.457,0.379,0.010
0.192,0.951,0.013,0.004,0.131,0.221,0.220,0.514,0.077
0.413,0.033,0.874,0.707,0.438,0.364,0.822,0.831,0.338
0.114,0.010,0.097,0.437,0.108,0.076,0.728,0.781,0.045
0.311,0.039,0.887,0.764,0.324,0.286,0.834,0.842,0.263
0.779,0.158,0.169,0.048,0.790,0.825,0.687,0.675,0.548
0.013,0.013,0.318,0.078,0.009,0.003,0.946,0.979,0.004
0.412,0.090,0.811,0.676,0.397,0.350,0.768,0.823,0.330
0.778,0.024,0.534,0.913,0.899,0.949,0.754,0.789,0.561
0.171,0.091,0.771,0.520,0.140,0.078,0.831,0.859,0.095
0.061,0.022,0.646,0.463,0.067,0.039,0.933,0.945,0.038
0.012,0.357,0.002,0.000,0.005,0.008,0.710,0.746,0.004
0.016,0.430,0.003,0.000,0.007,0.010,0.710,0.729,0.005
0.012,0.358,0.002,0.000,0.005,0.008,0.709,0.745,0.004
0.925,0.003,0.041,0.861,0.987,0.994,0.872,0.801,0.729
0.861,0.002,0.020,0.030,0.957,0.967,0.914,0.820,0.477
0.874,0.015,0.263,0.360,0.951,0.971,0.908,0.931,0.646
0.330,0.009,0.786,0.450,0.318,0.187,0.890,0.891,0.162
0.129,0.062,0.137,0.048,0.106,0.066,0.846,0.784,0.038
0.072,0.023,0.040,0.074,0.054,0.030,0.717,0.799,0.037
0.351,0.013,0.204,0.339,0.437,0.554,0.854,0.789,0.163
0.091,0.004,0.641,0.566,0.145,0.152,0.926,0.919,0.064
0.597,0.024,0.658,0.521,0.663,0.597,0.796,0.794,0.467
0.035,0.280,0.512,0.262,0.029,0.028,0.850,0.977,0.033
0.310,0.022,0.735,0.763,0.348,0.250,0.816,0.841,0.198
0.243,0.024,0.903,0.901,0.266,0.272,0.874,0.908,0.155
0.041,0.090,0.033,0.004,0.029,0.019,0.853,0.740,0.014
0.792,0.025,0.578,0.533,0.881,0.848,0.843,0.928,0.620
0.082,0.853,0.239,0.241,0.036,0.040,0.253,0.813,0.033
0.172,0.043,0.862,0.827,0.116,0.106,0.742,0.844,0.069
0.976,0.008,0.066,0.983,0.996,0.999,0.795,0.754,0.874
0.859,0.005,0.081,0.031,0.920,0.932,0.928,0.869,0.431
0.204,0.016,0.918,0.954,0.237,0.235,0.882,0.930,0.139
0.096,0.015,0.885,0.899,0.105,0.050,0.896,0.921,0.063
0.974,0.002,0.006,0.029,0.997,0.998,0.940,0.894,0.864
0.729,0.008,0.619,0.762,0.851,0.815,0.829,0.847,0.606
0.922,0.007,0.113,0.919,0.984,0.988,0.774,0.795,0.692
0.323,0.012,0.336,0.074,0.375,0.274,0.904,0.769,0.138
0.254,0.099,0.850,0.744,0.216,0.193,0.749,0.789,0.216
0.976,0.024,0.151,0.137,0.994,0.995,0.812,0.880,0.938
0.029,0.994,0.261,0.018,0.006,0.033,0.400,0.540,0.039
0.285,0.104,0.017,0.001,0.264,0.164,0.828,0.509,0.069
0.871,0.739,0.003,0.000,0.853,0.830,0.248,0.242,0.566
0.847,0.008,0.563,0.754,0.928,0.946,0.864,0.863,0.702
0.015,0.915,0.277,0.046,0.008,0.014,0.830,0.984,0.022
0.377,0.010,0.650,0.582,0.434,0.503,0.875,0.914,0.205
0.377,0.010,0.650,0.582,0.434,0.503,0.875,0.914,0.205
0.872,0.004,0.013,0.013,0.952,0.957,0.875,0.770,0.470
0.089,0.134,0.115,0.130,0.066,0.111,0.797,0.803,0.047
0.221,0.012,0.739,0.354,0.233,0.166,0.947,0.928,0.112
0.182,0.039,0.006,0.000,0.160,0.148,0.881,0.705,0.032
0.533,0.130,0.468,0.200,0.586,0.281,0.746,0.661,0.289
0.623,0.027,0.786,0.887,0.732,0.807,0.859,0.781,0.474
0.272,0.047,0.898,0.722,0.275,0.285,0.886,0.864,0.238
0.312,0.042,0.550,0.384,0.345,0.147,0.836,0.838,0.159
0.701,0.033,0.563,0.624,0.791,0.834,0.823,0.877,0.524
0.672,0.058,0.520,0.218,0.701,0.574,0.846,0.870,0.471
0.991,0.006,0.098,0.173,0.998,0.999,0.787,0.813,0.950
0.868,0.012,0.361,0.561,0.947,0.951,0.819,0.721,0.755
0.473,0.012,0.562,0.619,0.576,0.458,0.767,0.808,0.303
0.784,0.012,0.756,0.669,0.857,0.904,0.880,0.885,0.686
0.119,0.113,0.014,0.030,0.128,0.213,0.582,0.563,0.049
0.981,0.006,0.182,0.247,0.996,0.998,0.856,0.898,0.944
0.373,0.105,0.673,0.668,0.345,0.302,0.690,0.753,0.274
0.745,0.015,0.085,0.290,0.874,0.978,0.876,0.832,0.521
0.745,0.015,0.085,0.290,0.874,0.978,0.876,0.832,0.521
0.745,0.015,0.085,0.290,0.874,0.978,0.876,0.832,0.521
0.797,0.047,0.683,0.430,0.863,0.785,0.836,0.889,0.632
0.051,0.464,0.166,0.062,0.040,0.034,0.614,0.936,0.019
0.420,0.136,0.578,0.560,0.395,0.381,0.697,0.728,0.264
0.017,0.807,0.336,0.367,0.008,0.018,0.619,0.934,0.013
0.586,0.282,0.023,0.008,0.545,0.501,0.336,0.222,0.259
0.896,0.036,0.569,0.982,0.956,0.968,0.676,0.653,0.711
0.012,0.386,0.002,0.000,0.005,0.008,0.705,0.736,0.004
0.003,0.075,0.097,0.114,0.001,0.003,0.675,0.808,0.003
0.730,0.048,0.235,0.751,0.849,0.889,0.699,0.678,0.452
0.720,0.010,0.224,0.465,0.884,0.859,0.883,0.768,0.562
0.843,0.031,0.185,0.044,0.881,0.762,0.884,0.918,0.333
0.500,0.004,0.298,0.938,0.720,0.791,0.789,0.839,0.265
0.922,0.001,0.042,0.194,0.986,0.990,0.951,0.928,0.691
0.111,0.025,0.232,0.010,0.091,0.069,0.962,0.910,0.032
0.933,0.111,0.008,0.002,0.953,0.945,0.715,0.526,0.575
0.933,0.111,0.008,0.002,0.953,0.945,0.715,0.526,0.575
0.933,0.111,0.008,0.002,0.953,0.945,0.715,0.526,0.575
0.361,0.104,0.855,0.526,0.307,0.248,0.842,0.830,0.279
0.333,0.047,0.643,0.494,0.355,0.210,0.816,0.777,0.225
0.630,0.045,0.501,0.253,0.694,0.673,0.847,0.804,0.441
0.963,0.008,0.121,0.515,0.991,0.994,0.807,0.803,0.870
0.806,0.060,0.214,0.323,0.905,0.939,0.774,0.900,0.661
0.457,0.051,0.313,0.302,0.499,0.553,0.775,0.774,0.283
0.978,0.001,0.017,0.405,0.997,0.998,0.848,0.855,0.867
0.785,0.005,0.103,0.341,0.906,0.933,0.753,0.717,0.599
0.706,0.003,0.342,0.373,0.848,0.797,0.890,0.781,0.388
0.891,0.021,0.021,0.035,0.947,0.969,0.685,0.512,0.587
0.136,0.033,0.066,0.069,0.112,0.025,0.730,0.858,0.055
0.286,0.997,0.866,0.846,0.114,0.351,0.200,0.635,0.445
0.935,0.047,0.429,0.314,0.970,0.967,0.740,0.851,0.847
0.020,0.992,0.025,0.001,0.009,0.007,0.108,0.642,0.024
0.881,0.134,0.308,0.127,0.926,0.917,0.807,0.915,0.713
0.296,0.091,0.849,0.726,0.266,0.260,0.871,0.897,0.205
0.075,0.080,0.661,0.639,0.061,0.022,0.834,0.935,0.040
0.591,0.042,0.804,0.760,0.718,0.675,0.753,0.789,0.550
0.061,0.118,0.248,0.262,0.044,0.014,0.359,0.377,0.028
0.361,0.157,0.108,0.115,0.359,0.175,0.415,0.422,0.163
0.527,0.063,0.054,0.008,0.492,0.411,0.805,0.730,0.201
0.687,0.074,0.760,0.836,0.728,0.853,0.761,0.740,0.485
0.121,0.013,0.725,0.438,0.104,0.112,0.923,0.901,0.041
0.741,0.021,0.128,0.164,0.821,0.597,0.673,0.714,0.491
0.741,0.021,0.128,0.164,0.821,0.597,0.673,0.714,0.491
0.591,0.191,0.014,0.008,0.597,0.568,0.359,0.287,0.239
0.868,0.010,0.650,0.601,0.934,0.956,0.893,0.877,0.706
0.078,0.034,0.818,0.654,0.051,0.029,0.866,0.885,0.046
0.762,0.023,0.066,0.013,0.804,0.615,0.888,0.777,0.225
0.965,0.007,0.047,0.964,0.996,0.998,0.865,0.878,0.830
0.209,0.060,0.873,0.760,0.215,0.074,0.840,0.916,0.116
0.480,0.036,0.394,0.286,0.504,0.487,0.748,0.725,0.297
0.851,0.057,0.038,0.076,0.916,0.945,0.628,0.548,0.613
0.065,0.019,0.700,0.392,0.044,0.022,0.895,0.903,0.031
0.951,0.001,0.012,0.365,0.994,0.992,0.877,0.828,0.736
0.265,0.015,0.807,0.858,0.276,0.186,0.753,0.828,0.165
0.878,0.003,0.023,0.041,0.968,0.977,0.903,0.861,0.542
0.900,0.020,0.294,0.334,0.958,0.967,0.856,0.869,0.774
0.900,0.020,0.294,0.334,0.958,0.967,0.856,0.869,0.774
0.633,0.103,0.485,0.696,0.698,0.774,0.710,0.708,0.397
0.191,0.018,0.649,0.397,0.189,0.263,0.952,0.965,0.095
0.983,0.013,0.554,0.409,0.995,0.996,0.808,0.867,0.951
0.983,0.013,0.554,0.409,0.995,0.996,0.808,0.867,0.951
0.819,0.038,0.039,0.022,0.870,0.897,0.711,0.606,0.512
0.034,0.042,0.606,0.545,0.026,0.006,0.798,0.825,0.020
0.021,0.473,0.003,0.000,0.011,0.014,0.702,0.691,0.007
0.808,0.007,0.034,0.038,0.852,0.946,0.705,0.497,0.446
0.032,0.058,0.388,0.404,0.022,0.007,0.753,0.899,0.014
0.179,0.062,0.872,0.712,0.163,0.092,0.814,0.881,0.123
0.494,0.085,0.735,0.584,0.480,0.399,0.741,0.785,0.414
0.771,0.041,0.525,0.400,0.845,0.813,0.838,0.884,0.594
0.742,0.019,0.201,0.547,0.857,0.915,0.787,0.749,0.479
0.009,0.912,0.210,0.151,0.003,0.006,0.347,0.874,0.005
0.080,0.659,0.004,0.000,0.052,0.035,0.495,0.397,0.031
0.670,0.008,0.628,0.814,0.811,0.748,0.810,0.842,0.541
0.792,0.097,0.758,0.669,0.833,0.853,0.688,0.811,0.712
0.037,0.713,0.146,0.083,0.031,0.034,0.817,0.976,0.032
0.037,0.713,0.146,0.083,0.031,0.034,0.817,0.976,0.032
0.037,0.713,0.146,0.083,0.031,0.034,0.817,0.976,0.032
0.277,0.009,0.044,0.017,0.388,0.477,0.923,0.913,0.107
0.148,0.008,0.772,0.948,0.197,0.187,0.801,0.866,0.100
0.837,0.019,0.093,0.019,0.884,0.854,0.904,0.881,0.570
0.799,0.087,0.599,0.622,0.865,0.915,0.689,0.750,0.682
0.063,0.112,0.243,0.359,0.050,0.016,0.359,0.446,0.037
0.354,0.088,0.814,0.665,0.341,0.329,0.761,0.841,0.294
0.088,0.020,0.106,0.004,0.072,0.052,0.956,0.877,0.021
0.783,0.108,0.056,0.049,0.829,0.796,0.535,0.492,0.431
0.398,0.015,0.961,0.991,0.528,0.451,0.805,0.642,0.433
0.772,0.047,0.583,0.779,0.865,0.876,0.821,0.841,0.704
0.020,0.011,0.161,0.134,0.012,0.002,0.760,0.860,0.007
0.095,0.081,0.748,0.544,0.084,0.023,0.765,0.865,0.056
0.785,0.024,0.011,0.024,0.874,0.893,0.673,0.700,0.334
0.187,0.075,0.464,0.912,0.181,0.190,0.596,0.552,0.126
0.597,0.008,0.014,0.012,0.729,0.688,0.822,0.679,0.166
0.314,0.049,0.035,0.023,0.294,0.139,0.761,0.744,0.093
0.688,0.044,0.332,0.166,0.736,0.648,0.840,0.809,0.425
0.432,0.066,0.795,0.576,0.431,0.318,0.773,0.819,0.307
0.102,0.439,0.016,0.009,0.086,0.080,0.372,0.468,0.036
0.118,0.519,0.027,0.011,0.105,0.088,0.486,0.540,0.038
0.298,0.240,0.033,0.008,0.269,0.213,0.584,0.462,0.102
0.898,0.018,0.014,0.027,0.953,0.962,0.717,0.640,0.564
0.636,0.331,0.003,0.000,0.621,0.640,0.435,0.266,0.238
0.736,0.186,0.062,0.027,0.773,0.841,0.782,0.625,0.562
0.675,0.075,0.128,0.122,0.764,0.819,0.792,0.757,0.540
0.445,0.111,0.406,0.239,0.419,0.351,0.717,0.771,0.248
0.334,0.070,0.694,0.638,0.367,0.149,0.611,0.754,0.232
0.355,0.006,0.509,0.906,0.534,0.471,0.853,0.876,0.228
0.588,0.008,0.532,0.946,0.758,0.855,0.872,0.892,0.398
0.283,0.181,0.216,0.505,0.266,0.287,0.511,0.556,0.152
0.155,0.022,0.013,0.005,0.136,0.094,0.777,0.682,0.036
0.795,0.106,0.016,0.039,0.836,0.749,0.567,0.818,0.278
0.963,0.122,0.034,0.007,0.978,0.982,0.824,0.817,0.887
0.117,0.017,0.723,0.303,0.099,0.046,0.941,0.960,0.038
0.137,0.062,0.855,0.676,0.110,0.096,0.833,0.897,0.079
0.748,0.056,0.038,0.062,0.817,0.827,0.637,0.607,0.353
0.549,0.064,0.605,0.721,0.610,0.654,0.687,0.777,0.439
0.243,0.077,0.792,0.576,0.216,0.147,0.787,0.828,0.161
0.072,0.033,0.878,0.677,0.062,0.020,0.896,0.963,0.035
0.302,0.058,0.051,0.090,0.261,0.188,0.614,0.671,0.123
0.072,0.033,0.878,0.677,0.062,0.020,0.896,0.963,0.035
0.072,0.033,0.878,0.677,0.062,0.020,0.896,0.963,0.035
0.880,0.011,0.549,0.314,0.930,0.913,0.876,0.883,0.617
0.021,0.227,0.014,0.000,0.011,0.013,0.856,0.773,0.006
0.548,0.122,0.511,0.845,0.610,0.730,0.589,0.594,0.407
0.024,0.133,0.273,0.043,0.015,0.005,0.842,0.927,0.012
0.160,0.041,0.007,0.003,0.176,0.146,0.827,0.763,0.048
0.013,0.490,0.003,0.000,0.005,0.008,0.612,0.702,0.005
0.242,0.014,0.600,0.384,0.229,0.128,0.832,0.785,0.099
0.885,0.009,0.260,0.803,0.963,0.974,0.787,0.831,0.618
0.433,0.027,0.904,0.858,0.506,0.635,0.916,0.878,0.300
0.007,0.626,0.074,0.012,0.003,0.002,0.402,0.439,0.005
0.739,0.047,0.361,0.286,0.832,0.768,0.824,0.853,0.494
0.015,0.222,0.024,0.009,0.009,0.013,0.696,0.824,0.012
0.003,0.162,0.133,0.058,0.001,0.001,0.632,0.707,0.002
0.406,0.015,0.749,0.891,0.469,0.570,0.865,0.923,0.225
0.958,0.038,0.325,0.656,0.987,0.990,0.700,0.828,0.885
0.016,0.057,0.190,0.044,0.010,0.005,0.899,0.986,0.006
0.939,0.022,0.079,0.035,0.970,0.982,0.832,0.864,0.757
0.944,0.006,0.241,0.391,0.985,0.993,0.929,0.951,0.805
0.165,0.018,0.935,0.746,0.177,0.128,0.934,0.918,0.116
0.166,0.458,0.067,0.032,0.146,0.119,0.602,0.619,0.073
0.015,0.173,0.025,0.009,0.009,0.005,0.457,0.555,0.009
0.759,0.075,0.556,0.984,0.854,0.897,0.628,0.509,0.548
0.932,0.017,0.238,0.879,0.980,0.986,0.702,0.693,0.768
0.008,0.019,0.062,0.018,0.005,0.003,0.911,0.966,0.003
0.219,0.009,0.952,0.990,0.274,0.278,0.870,0.872,0.153
0.411,0.017,0.900,0.674,0.501,0.385,0.910,0.898,0.404
0.235,0.426,0.487,0.509,0.193,0.283,0.684,0.808,0.159
0.486,0.050,0.527,0.461,0.550,0.604,0.858,0.813,0.337
0.007,0.092,0.068,0.021,0.004,0.001,0.585,0.655,0.004
0.007,0.092,0.068,0.021,0.004,0.001,0.585,0.655,0.004
0.224,0.012,0.901,0.881,0.240,0.227,0.874,0.893,0.161
0.035,0.086,0.219,0.069,0.026,0.012,0.820,0.949,0.012
0.189,0.080,0.078,0.036,0.180,0.127,0.762,0.762,0.045
0.226,0.144,0.040,0.017,0.215,0.163,0.645,0.614,0.057
0.630,0.027,0.094,0.018,0.703,0.526,0.905,0.833,0.273
0.039,0.050,0.057,0.006,0.026,0.012,0.905,0.884,0.009
0.492,0.008,0.364,0.894,0.657,0.799,0.863,0.852,0.292
0.947,0.012,0.018,0.025,0.981,0.980,0.780,0.748,0.694
0.813,0.009,0.651,0.610,0.902,0.923,0.920,0.940,0.679
0.953,0.024,0.143,0.184,0.982,0.984,0.758,0.814,0.862
0.150,0.007,0.223,0.036,0.139,0.147,0.936,0.830,0.057
0.972,0.006,0.263,0.252,0.991,0.994,0.874,0.919,0.785
0.545,0.173,0.496,0.507,0.533,0.626,0.673,0.720,0.312
0.557,0.122,0.538,0.193,0.501,0.423,0.795,0.786,0.341
0.010,0.024,0.093,0.007,0.007,0.003,0.949,0.966,0.004
0.432,0.042,0.037,0.043,0.436,0.188,0.718,0.792,0.160
0.100,0.248,0.253,0.069,0.108,0.040,0.884,0.961,0.067
0.459,0.022,0.588,0.554,0.552,0.653,0.904,0.865,0.253
0.564,0.085,0.011,0.020,0.591,0.590,0.460,0.308,0.192
0.251,0.149,0.047,0.045,0.184,0.139,0.171,0.136,0.109
0.223,0.249,0.545,0.144,0.162,0.078,0.743,0.888,0.066
0.223,0.249,0.545,0.144,0.162,0.078,0.743,0.888,0.066
0.266,0.022,0.015,0.327,0.409,0.618,0.864,0.744,0.109
0.018,0.087,0.085,0.071,0.012,0.004,0.434,0.513,0.008
0.741,0.006,0.331,0.196,0.846,0.784,0.887,0.886,0.404
0.780,0.079,0.037,0.115,0.861,0.838,0.645,0.555,0.470
0.959,0.033,0.026,0.022,0.984,0.988,0.800,0.787,0.841
0.584,0.042,0.146,0.396,0.684,0.790,0.729,0.693,0.350
0.935,0.109,0.023,0.036,0.966,0.977,0.661,0.613,0.765
0.637,0.001,0.021,0.973,0.931,0.971,0.884,0.835,0.342
0.904,0.074,0.307,0.890,0.960,0.976,0.674,0.696,0.740
0.949,0.023,0.295,0.634,0.984,0.990,0.721,0.776,0.848
0.837,0.004,0.047,0.044,0.920,0.935,0.906,0.819,0.365
0.644,0.142,0.183,0.272,0.693,0.788,0.604,0.630,0.344
0.688,0.015,0.569,0.421,0.782,0.733,0.919,0.935,0.510
0.319,0.042,0.027,0.164,0.366,0.347,0.439,0.309,0.107
0.793,0.097,0.476,0.774,0.877,0.920,0.678,0.792,0.633
0.793,0.097,0.476,0.774,0.877,0.920,0.678,0.792,0.633
0.547,0.051,0.867,0.760,0.630,0.524,0.724,0.802,0.544
0.195,0.041,0.821,0.851,0.184,0.145,0.736,0.760,0.153
0.859,0.007,0.092,0.624,0.957,0.976,0.788,0.751,0.647
0.024,0.033,0.044,0.055,0.017,0.025,0.815,0.714,0.014
0.935,0.003,0.047,0.888,0.989,0.995,0.880,0.816,0.750
0.093,0.086,0.007,0.004,0.069,0.088,0.614,0.688,0.040
0.179,0.039,0.006,0.005,0.173,0.182,0.790,0.819,0.055
0.093,0.086,0.007,0.004,0.069,0.088,0.614,0.688,0.040
0.333,0.036,0.005,0.005,0.369,0.362,0.795,0.790,0.099
0.173,0.026,0.788,0.659,0.140,0.099,0.796,0.749,0.112
0.633,0.027,0.716,0.422,0.634,0.712,0.828,0.888,0.466
0.438,0.006,0.394,0.298,0.495,0.384,0.842,0.861,0.173
0.396,0.116,0.670,0.688,0.381,0.377,0.676,0.695,0.279
0.751,0.013,0.264,0.822,0.898,0.923,0.838,0.859,0.515
0.015,0.051,0.391,0.311,0.010,0.006,0.797,0.834,0.009
0.041,0.090,0.116,0.184,0.033,0.019,0.689,0.684,0.026
0.970,0.002,0.006,0.089,0.996,0.998,0.911,0.828,0.796
0.563,0.105,0.690,0.817,0.593,0.729,0.675,0.664,0.426
0.275,0.013,0.959,0.889,0.330,0.291,0.948,0.939,0.200
0.041,0.317,0.018,0.009,0.031,0.037,0.815,0.887,0.031
0.030,0.233,0.309,0.055,0.024,0.011,0.778,0.932,0.018
0.183,0.089,0.160,0.247,0.157,0.132,0.658,0.690,0.111
0.203,0.038,0.878,0.844,0.199,0.143,0.851,0.916,0.109
0.446,0.038,0.791,0.408,0.475,0.242,0.903,0.903,0.260
0.570,0.093,0.356,0.974,0.676,0.832,0.715,0.587,0.355
0.015,0.096,0.102,0.378,0.010,0.009,0.523,0.639,0.011
